image_id,mask_id,step,token_group,obj_iou,iou_hard,io_ratio,wdp,func_iou,f1_iou
785,2,5,person + skiing,0.1413629949364987,0.183816268854915,0.1449791412865844,0.1302309315109196,0.7333333333333333,0.2370335691057939
785,2,5,skiing,0.1395897925113284,0.1715127097390094,0.1339986884439758,0.1360272031039008,0.7333333333333333,0.234535767952279
,,,,,,,,,
785,2_person,4,person,0.1342071985097154,0.0602098744194047,0.1421859556109437,0.0973739743688808,0.7478260869565218,0.2275733711111957
,,,,,,,,,
785,2_person,5,skiing,0.1395897925113284,0.1715127097390094,0.1339986884439758,0.1360272031039008,0.7333333333333333,0.234535767952279
------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------
785,3,5,person + on + skis,0.1771977211875302,0.2241688300812327,0.1783772693507651,0.0922949933145149,0.7333333333333333,0.2854268284257506
785,3,5,skiing,0.1752012615154784,0.2118992915948688,0.1665822915073121,0.0973863657685028,0.7333333333333333,0.2828311125185744
,,,,,,,,,
785,3_person_first,4,person,0.1342071985097154,0.0602098744194047,0.1421859556109437,0.0973739743688808,0.7478260869565218,0.2275733711111957
,,,,,,,,,
785,3_skis_second,5,skiing,0.0489829987260027,0.064922225151595,0.0357224877699184,0.145546675060441,0.7333333333333333,0.0918320742143921
------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------
785,1,15,person + red,0.212860137016298,0.2099700304271236,0.1999320539547988,0.1020623014783209,0.8057971014492754,0.3367611301328329
785,1,15,red,0.2120258668395339,0.210342934873398,0.202615495108536,0.1034716861330328,0.8115942028985508,0.3362164722611113
,,,,,,,,,
785,1_person,4,person,0.1342071985097154,0.0602098744194047,0.1421859556109437,0.0973739743688808,0.7478260869565218,0.2275733711111957
,,,,,,,,,
785,1_person,15,red,0.2120258668395339,0.210342934873398,0.202615495108536,0.1034716861330328,0.8115942028985508,0.3362164722611113
------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------
872,1,27,player + white,0.4948152991173586,0.4735429102798692,0.4166019325589872,0.0409575920298996,0.8260869565217391,0.6189109947283427
872,1,27,white,0.4950691357704718,0.4864079531542694,0.4117390298912432,0.0423805673759683,0.8260869565217391,0.6191095178267875
,,,,,,,,,
872,1_player,24,player,0.0433281833649502,0.0369636963696369,0.0937603849047681,0.1129686786615592,0.8517786561264822,0.082461713330149
,,,,,,,,,
872,1_player,27,white,0.4950691357704718,0.4864079531542694,0.4117390298912432,0.0423805673759683,0.8260869565217391,0.6191095178267875
------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------
872,2,37,player + playing,0.0484905900710123,0.0326976521322472,0.134939032268466,0.0873986558201962,0.8537549407114624,0.0917689906764902
872,2,37,player,0.0484905900710123,0.0326976521322472,0.134939032268466,0.0873986558201962,0.8537549407114624,0.0917689906764902
,,,,,,,,,
872,2_player,24,player,0.0474400158635732,0.0320281992570141,0.1345551806657054,0.0863110492702339,0.8517786561264822,0.08987445260554
,,,,,,,,,
872,2_player,37,player,0.0484905900710123,0.0326976521322472,0.134939032268466,0.0873986558201962,0.8537549407114624,0.0917689906764902
------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------
872,3,37,player + behind + player,0.0484905900710123,0.0326976521322472,0.134939032268466,0.0873986558201962,0.8537549407114624,0.0917689906764902
872,3,37,player,0.0484905900710123,0.0326976521322472,0.134939032268466,0.0873986558201962,0.8537549407114624,0.0917689906764902
,,,,,,,,,
872,3_player_first,24,player,0.0433281833649502,0.0369636963696369,0.0937603849047681,0.1129686786615592,0.8517786561264822,0.082461713330149
,,,,,,,,,
872,3_player_second,37,player,0.0194025141969616,0.0068385236834165,0.0403613195573694,0.1272675994649166,0.8537549407114624,0.0379427381963258
------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------
1296,2,5,woman + holding,0.1965685798783322,0.1223664433620685,0.8628524714584251,0.0056279265157087,0.8260869565217391,0.3175707442431844
1296,2,5,holding,0.1809824925191576,0.1245151260026755,0.8589856400988536,0.0058255738789152,0.8463768115942029,0.2982002194547395
,,,,,,,,,
1296,2_woman,4,woman,0.1171532791013568,0.0534765398378658,0.8541901338961888,0.0057545289440381,0.8840579710144928,0.2068899849218754
,,,,,,,,,
1296,2_woman,5,holding,0.1809824925191576,0.1245151260026755,0.8589856400988536,0.0058255738789152,0.8463768115942029,0.2982002194547395
------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------
1296,1,22,cell phone + white,0.0731052454938503,0.0089457341416531,0.0502137101292791,0.2905798226797901,0.8231884057971014,0.1342849866376062
1296,1,22,white,0.0731052454938503,0.0089457341416531,0.0502137101292791,0.2905798226797901,0.8231884057971014,0.1342849866376062
,,,,,,,,,
1296,1_cell phone,22,white,0.0731052454938503,0.0089457341416531,0.0502137101292791,0.2905798226797901,0.8231884057971014,0.1342849866376062
,,,,,,,,,
1296,1_cell phone,22,white,0.0731052454938503,0.0089457341416531,0.0502137101292791,0.2905798226797901,0.8231884057971014,0.1342849866376062
