mode,target_type,target,layer,n,obj_iou,iou_hard,io_ratio,wdp,func_iou,f1_iou
A,relation_next_to,1_boat__2_boat,28,1,0.0002,0.0,0.0137,0.1342,0.7681,0.0003
A,relation_next_to,1_bowl__1,28,1,0.011,0.0,0.2954,0.0783,0.8913,0.0217
A,relation_next_to,1_bowl__3,28,1,0.0465,0.0186,0.5824,0.0243,0.8913,0.0884
A,relation_next_to,1_bowl__3_first_banana,28,1,0.0,0.0,0.0005,0.4354,0.8913,0.0
A,relation_next_to,1_bowl__3_second_bowl,28,1,0.011,0.0,0.2954,0.0783,0.8913,0.0217
A,relation_next_to,1_cat__1,28,1,0.2,0.1102,0.4308,0.0838,0.7852,0.3188
A,relation_next_to,1_cat__2,28,1,0.2,0.1102,0.4308,0.0838,0.7852,0.3188
A,relation_next_to,1_cat__2_cat,28,1,0.2,0.1102,0.4308,0.0838,0.7852,0.3188
A,relation_next_to,1_cat__3,28,1,0.1872,0.1004,0.8746,0.005,0.7852,0.3023
A,relation_next_to,1_cat__3_first_cat,28,1,0.2,0.1102,0.4308,0.0838,0.7852,0.3188
A,relation_next_to,1_cat__3_second_sink,28,1,0.0,0.0,0.0203,0.2575,0.7852,0.0
A,relation_next_to,1_dog__1,28,1,0.1241,0.0307,0.4644,0.0269,0.7749,0.214
A,relation_next_to,1_dog__2,28,1,0.1241,0.0307,0.4644,0.0269,0.7749,0.214
A,relation_next_to,1_dog__2_dog,28,1,0.1241,0.0307,0.4644,0.0269,0.7749,0.214
A,relation_next_to,1_doughnut__1,28,1,0.149,0.0855,0.5024,0.0374,0.8645,0.2542
A,relation_next_to,1_doughnut__2,28,1,0.0305,0.0274,0.0546,0.1827,0.8645,0.0589
A,relation_next_to,1_doughnut__2_person,28,1,0.0305,0.0274,0.0546,0.1827,0.8645,0.0589
A,relation_next_to,1_pizza__1,28,1,0.0385,0.025,0.1614,0.0657,0.8082,0.0736
A,relation_next_to,1_pizza__2,28,1,0.0,0.0,0.0001,0.3424,0.8082,0.0
A,relation_next_to,1_pizza__2_person,28,1,0.0,0.0,0.0001,0.3424,0.8082,0.0
A,relation_next_to,1_pizza__3,28,1,0.1985,0.1163,0.931,0.0013,0.8082,0.3187
A,relation_next_to,1_pizza__3_first_pizza,28,1,0.0385,0.025,0.1614,0.0657,0.8082,0.0736
A,relation_next_to,1_pizza__3_second_dining table,28,1,0.1985,0.1163,0.931,0.0013,0.8082,0.3187
A,relation_next_to,1_woman__1,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,1_woman__2,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,1_woman__2_woman,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,1_woman__3,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,1_woman__3_first_woman,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,1_woman__3_second_chair,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,2__1,28,6,0.0665,0.0321,0.243,0.1321,0.818,0.123
A,relation_next_to,2__1_boat,28,1,0.0002,0.0,0.0137,0.1342,0.7681,0.0003
A,relation_next_to,2__1_cat,28,1,0.2,0.1102,0.4308,0.0838,0.7852,0.3188
A,relation_next_to,2__1_dog,28,1,0.1241,0.0307,0.4644,0.0269,0.7749,0.214
A,relation_next_to,2__1_doughnut,28,1,0.0305,0.0274,0.0546,0.1827,0.8645,0.0589
A,relation_next_to,2__1_pizza,28,1,0.0,0.0,0.0001,0.3424,0.8082,0.0
A,relation_next_to,2__1_woman,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,2__2_boat,28,1,0.0002,0.0,0.0137,0.1342,0.7681,0.0003
A,relation_next_to,2__2_cat,28,1,0.2,0.1102,0.4308,0.0838,0.7852,0.3188
A,relation_next_to,2__2_dog,28,1,0.1241,0.0307,0.4644,0.0269,0.7749,0.214
A,relation_next_to,2__2_person,28,2,0.05,0.0315,0.332,0.1168,0.8363,0.0944
A,relation_next_to,2__2_woman,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,2__3,28,3,0.0792,0.0417,0.4649,0.1188,0.8336,0.1446
A,relation_next_to,2__3_first_cat,28,1,0.2,0.1102,0.4308,0.0838,0.7852,0.3188
A,relation_next_to,2__3_first_pizza,28,1,0.0,0.0,0.0001,0.3424,0.8082,0.0
A,relation_next_to,2__3_first_woman,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,2__3_second_chair,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,2__3_second_dining table,28,1,0.006,0.0,0.0261,0.3288,0.8082,0.012
A,relation_next_to,2__3_second_sink,28,1,0.0,0.0,0.0203,0.2575,0.7852,0.0
A,relation_next_to,2_boat__1,28,1,0.0002,0.0,0.0137,0.1342,0.7681,0.0003
A,relation_next_to,2_boat__1_boat,28,1,0.0002,0.0,0.0137,0.1342,0.7681,0.0003
A,relation_next_to,2_boat__2,28,1,0.0002,0.0,0.0137,0.1342,0.7681,0.0003
A,relation_next_to,2_cat__1,28,1,0.2,0.1102,0.4308,0.0838,0.7852,0.3188
A,relation_next_to,2_cat__1_cat,28,1,0.2,0.1102,0.4308,0.0838,0.7852,0.3188
A,relation_next_to,2_cat__2,28,1,0.2,0.1102,0.4308,0.0838,0.7852,0.3188
A,relation_next_to,2_cat__3,28,1,0.1872,0.1004,0.8746,0.005,0.7852,0.3023
A,relation_next_to,2_cat__3_first_cat,28,1,0.2,0.1102,0.4308,0.0838,0.7852,0.3188
A,relation_next_to,2_cat__3_second_sink,28,1,0.0,0.0,0.0203,0.2575,0.7852,0.0
A,relation_next_to,2_dog__1,28,1,0.1241,0.0307,0.4644,0.0269,0.7749,0.214
A,relation_next_to,2_dog__1_dog,28,1,0.1241,0.0307,0.4644,0.0269,0.7749,0.214
A,relation_next_to,2_dog__2,28,1,0.1241,0.0307,0.4644,0.0269,0.7749,0.214
A,relation_next_to,2_person__1,28,2,0.0153,0.0137,0.0274,0.2626,0.8363,0.03
A,relation_next_to,2_person__1_doughnut,28,1,0.0305,0.0274,0.0546,0.1827,0.8645,0.0589
A,relation_next_to,2_person__1_pizza,28,1,0.0,0.0,0.0001,0.3424,0.8082,0.0
A,relation_next_to,2_person__2,28,2,0.05,0.0315,0.332,0.1168,0.8363,0.0944
A,relation_next_to,2_person__3,28,1,0.006,0.0,0.0261,0.3288,0.8082,0.012
A,relation_next_to,2_person__3_first_pizza,28,1,0.0,0.0,0.0001,0.3424,0.8082,0.0
A,relation_next_to,2_person__3_second_dining table,28,1,0.006,0.0,0.0261,0.3288,0.8082,0.012
A,relation_next_to,2_woman__1,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,2_woman__1_woman,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,2_woman__2,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,2_woman__3,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,2_woman__3_first_woman,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,2_woman__3_second_chair,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,3__1,28,4,0.1191,0.065,0.7205,0.0133,0.848,0.2089
A,relation_next_to,3__1_bowl,28,1,0.0465,0.0186,0.5824,0.0243,0.8913,0.0884
A,relation_next_to,3__1_cat,28,1,0.1872,0.1004,0.8746,0.005,0.7852,0.3023
A,relation_next_to,3__1_pizza,28,1,0.1985,0.1163,0.931,0.0013,0.8082,0.3187
A,relation_next_to,3__1_woman,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,3__2,28,3,0.0792,0.0417,0.4649,0.1188,0.8336,0.1446
A,relation_next_to,3__2_cat,28,1,0.1872,0.1004,0.8746,0.005,0.7852,0.3023
A,relation_next_to,3__2_person,28,1,0.006,0.0,0.0261,0.3288,0.8082,0.012
A,relation_next_to,3__2_woman,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,3__3_first_banana,28,1,0.0465,0.0186,0.5824,0.0243,0.8913,0.0884
A,relation_next_to,3__3_first_cat,28,1,0.1872,0.1004,0.8746,0.005,0.7852,0.3023
A,relation_next_to,3__3_first_pizza,28,1,0.1985,0.1163,0.931,0.0013,0.8082,0.3187
A,relation_next_to,3__3_first_woman,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,3__3_second_bowl,28,1,0.0465,0.0186,0.5824,0.0243,0.8913,0.0884
A,relation_next_to,3__3_second_chair,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,3__3_second_dining table,28,1,0.1985,0.1163,0.931,0.0013,0.8082,0.3187
A,relation_next_to,3__3_second_sink,28,1,0.1872,0.1004,0.8746,0.005,0.7852,0.3023
A,relation_next_to,3_first_banana__1,28,1,0.0,0.0,0.0005,0.4354,0.8913,0.0
A,relation_next_to,3_first_banana__1_bowl,28,1,0.0,0.0,0.0005,0.4354,0.8913,0.0
A,relation_next_to,3_first_banana__3,28,1,0.0465,0.0186,0.5824,0.0243,0.8913,0.0884
A,relation_next_to,3_first_banana__3_second_bowl,28,1,0.0,0.0,0.0005,0.4354,0.8913,0.0
A,relation_next_to,3_first_cat__1,28,1,0.2,0.1102,0.4308,0.0838,0.7852,0.3188
A,relation_next_to,3_first_cat__1_cat,28,1,0.2,0.1102,0.4308,0.0838,0.7852,0.3188
A,relation_next_to,3_first_cat__2,28,1,0.2,0.1102,0.4308,0.0838,0.7852,0.3188
A,relation_next_to,3_first_cat__2_cat,28,1,0.2,0.1102,0.4308,0.0838,0.7852,0.3188
A,relation_next_to,3_first_cat__3,28,1,0.1872,0.1004,0.8746,0.005,0.7852,0.3023
A,relation_next_to,3_first_cat__3_second_sink,28,1,0.0,0.0,0.0203,0.2575,0.7852,0.0
A,relation_next_to,3_first_pizza__1,28,1,0.0385,0.025,0.1614,0.0657,0.8082,0.0736
A,relation_next_to,3_first_pizza__1_pizza,28,1,0.0385,0.025,0.1614,0.0657,0.8082,0.0736
A,relation_next_to,3_first_pizza__2,28,1,0.0,0.0,0.0001,0.3424,0.8082,0.0
A,relation_next_to,3_first_pizza__2_person,28,1,0.0,0.0,0.0001,0.3424,0.8082,0.0
A,relation_next_to,3_first_pizza__3,28,1,0.1985,0.1163,0.931,0.0013,0.8082,0.3187
A,relation_next_to,3_first_pizza__3_second_dining table,28,1,0.1985,0.1163,0.931,0.0013,0.8082,0.3187
A,relation_next_to,3_first_woman__1,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,3_first_woman__1_woman,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,3_first_woman__2,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,3_first_woman__2_woman,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,3_first_woman__3,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,3_first_woman__3_second_chair,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,3_second_bowl__1,28,1,0.011,0.0,0.2954,0.0783,0.8913,0.0217
A,relation_next_to,3_second_bowl__1_bowl,28,1,0.011,0.0,0.2954,0.0783,0.8913,0.0217
A,relation_next_to,3_second_bowl__3,28,1,0.0465,0.0186,0.5824,0.0243,0.8913,0.0884
A,relation_next_to,3_second_bowl__3_first_banana,28,1,0.0,0.0,0.0005,0.4354,0.8913,0.0
A,relation_next_to,3_second_chair__1,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,3_second_chair__1_woman,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,3_second_chair__2,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,3_second_chair__2_woman,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,3_second_chair__3,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,3_second_chair__3_first_woman,28,1,0.0443,0.0247,0.4942,0.0227,0.9074,0.0845
A,relation_next_to,3_second_dining table__1,28,1,0.1985,0.1163,0.931,0.0013,0.8082,0.3187
A,relation_next_to,3_second_dining table__1_pizza,28,1,0.1985,0.1163,0.931,0.0013,0.8082,0.3187
A,relation_next_to,3_second_dining table__2,28,1,0.006,0.0,0.0261,0.3288,0.8082,0.012
A,relation_next_to,3_second_dining table__2_person,28,1,0.006,0.0,0.0261,0.3288,0.8082,0.012
A,relation_next_to,3_second_dining table__3,28,1,0.1985,0.1163,0.931,0.0013,0.8082,0.3187
A,relation_next_to,3_second_dining table__3_first_pizza,28,1,0.1985,0.1163,0.931,0.0013,0.8082,0.3187
A,relation_next_to,3_second_sink__1,28,1,0.0,0.0,0.0203,0.2575,0.7852,0.0
A,relation_next_to,3_second_sink__1_cat,28,1,0.0,0.0,0.0203,0.2575,0.7852,0.0
A,relation_next_to,3_second_sink__2,28,1,0.0,0.0,0.0203,0.2575,0.7852,0.0
A,relation_next_to,3_second_sink__2_cat,28,1,0.0,0.0,0.0203,0.2575,0.7852,0.0
A,relation_next_to,3_second_sink__3,28,1,0.1872,0.1004,0.8746,0.005,0.7852,0.3023
A,relation_next_to,3_second_sink__3_first_cat,28,1,0.0,0.0,0.0203,0.2575,0.7852,0.0
A,relation_on,1__1_airplane,28,1,0.0696,0.0601,0.2616,0.0607,0.9246,0.1294
A,relation_on,1__1_bird,28,2,0.1472,0.1434,0.2619,0.0919,0.7926,0.2483
A,relation_on,1__1_boat,28,1,0.0199,0.0016,0.057,0.1262,0.6203,0.0386
A,relation_on,1__1_bowl,28,1,0.0562,0.0312,0.2237,0.0886,0.6863,0.1038
A,relation_on,1__1_car,28,2,0.1039,0.0268,0.3858,0.0634,0.7775,0.1832
A,relation_on,1__1_cat,28,3,0.1943,0.107,0.4149,0.0608,0.7959,0.3124
A,relation_on,1__1_catcher,28,1,0.2853,0.2313,0.4109,0.0586,0.829,0.4245
A,relation_on,1__1_dog,28,5,0.2045,0.1761,0.2844,0.0758,0.7816,0.3241
A,relation_on,1__1_fork,28,1,0.2508,0.2059,0.2632,0.1758,0.9316,0.3953
A,relation_on,1__1_frisbee,28,1,0.0327,0.0214,0.1316,0.1634,0.9246,0.0632
A,relation_on,1__1_horses,28,2,0.1631,0.1157,0.262,0.0677,0.7263,0.2664
A,relation_on,1__1_hot dog,28,1,0.1743,0.1499,0.2213,0.0893,0.7228,0.2809
A,relation_on,1__1_man,28,4,0.2209,0.1989,0.3275,0.0586,0.7834,0.3446
A,relation_on,1__1_person,28,5,0.1775,0.1277,0.1975,0.1517,0.7775,0.2891
A,relation_on,1__1_pizza,28,3,0.0479,0.0469,0.151,0.0894,0.7698,0.0902
A,relation_on,1__1_player,28,2,0.1995,0.1061,0.2666,0.0723,0.755,0.3156
A,relation_on,1__1_suitcase,28,3,0.1148,0.101,0.1283,0.2566,0.7198,0.198
A,relation_on,1__1_surfer,28,2,0.2113,0.2133,0.2151,0.1045,0.8029,0.3346
A,relation_on,1__1_tent,28,1,0.0059,0.0,0.1594,0.0815,0.829,0.0117
A,relation_on,1__1_umbrella,28,1,0.0068,0.0003,0.0615,0.2306,0.9003,0.0135
A,relation_on,1__1_woman,28,2,0.1321,0.0215,0.2996,0.0643,0.7306,0.2238
A,relation_on,1__2,28,42,0.1274,0.1012,0.1887,0.1261,0.7787,0.2189
A,relation_on,1__2_airplane,28,1,0.0696,0.0601,0.2616,0.0607,0.9246,0.1294
A,relation_on,1__2_bird,28,2,0.1472,0.1434,0.2619,0.0919,0.7926,0.2483
A,relation_on,1__2_boat,28,1,0.0199,0.0016,0.057,0.1262,0.6203,0.0386
A,relation_on,1__2_cat,28,4,0.1571,0.0803,0.3303,0.0831,0.7817,0.2616
A,relation_on,1__2_catcher,28,1,0.2853,0.2313,0.4109,0.0586,0.829,0.4245
A,relation_on,1__2_dog,28,7,0.1669,0.1424,0.2262,0.0963,0.8069,0.2766
A,relation_on,1__2_hot dog,28,1,0.1743,0.1499,0.2213,0.0893,0.7228,0.2809
A,relation_on,1__2_jockeys,28,2,0.0036,0.0,0.0159,0.1363,0.7263,0.0072
A,relation_on,1__2_man,28,3,0.2246,0.2202,0.3172,0.0536,0.799,0.3506
A,relation_on,1__2_person,28,8,0.0886,0.0674,0.0951,0.1828,0.7746,0.159
A,relation_on,1__2_player,28,2,0.1995,0.1061,0.2666,0.0723,0.755,0.3156
A,relation_on,1__2_surfer,28,2,0.2113,0.2133,0.2151,0.1045,0.8029,0.3346
A,relation_on,1__2_woman,28,7,0.0712,0.0518,0.1178,0.1833,0.7409,0.1299
A,relation_on,1__2_women,28,1,0.0,0.0,0.0154,0.2366,0.9003,0.0
A,relation_on,1__3,28,34,0.1557,0.1202,0.2476,0.1093,0.774,0.2593
A,relation_on,1__3_first_banana,28,1,0.0361,0.0301,0.0608,0.1109,0.6863,0.0685
A,relation_on,1__3_first_cat,28,3,0.1361,0.0822,0.2938,0.0911,0.7689,0.2313
A,relation_on,1__3_first_dog,28,5,0.2089,0.1815,0.2612,0.0881,0.7867,0.3302
A,relation_on,1__3_first_fork,28,1,0.2508,0.2059,0.2632,0.1758,0.9316,0.3953
A,relation_on,1__3_first_jockeys,28,2,0.0036,0.0,0.0159,0.1363,0.7263,0.0072
A,relation_on,1__3_first_man,28,4,0.2209,0.1989,0.3275,0.0586,0.7834,0.3446
A,relation_on,1__3_first_person,28,5,0.1775,0.1277,0.1975,0.1517,0.7775,0.2891
A,relation_on,1__3_first_pizza,28,3,0.0479,0.0469,0.151,0.0894,0.7698,0.0902
A,relation_on,1__3_first_player,28,1,0.1636,0.1242,0.2336,0.0725,0.7194,0.2665
A,relation_on,1__3_first_surfer,28,2,0.2113,0.2133,0.2151,0.1045,0.8029,0.3346
A,relation_on,1__3_first_woman,28,6,0.0808,0.0603,0.1361,0.1826,0.7416,0.1457
A,relation_on,1__3_first_women,28,1,0.0,0.0,0.0154,0.2366,0.9003,0.0
A,relation_on,1__3_second_bed,28,5,0.161,0.2431,0.1288,0.1088,0.7868,0.2674
A,relation_on,1__3_second_bench,28,3,0.0088,0.0006,0.0221,0.1828,0.7917,0.0174
A,relation_on,1__3_second_bowl,28,1,0.0562,0.0312,0.2237,0.0886,0.6863,0.1038
A,relation_on,1__3_second_car,28,2,0.1039,0.0268,0.3858,0.0634,0.7775,0.1832
A,relation_on,1__3_second_carrot,28,1,0.1235,0.0944,0.3561,0.0932,0.9316,0.218
A,relation_on,1__3_second_chair,28,2,0.074,0.0459,0.1309,0.0981,0.7237,0.1342
A,relation_on,1__3_second_couch,28,2,0.3342,0.3201,0.328,0.0653,0.7903,0.4698
A,relation_on,1__3_second_dining table,28,3,0.0479,0.0469,0.151,0.0894,0.7698,0.0902
A,relation_on,1__3_second_horse,28,2,0.1631,0.1157,0.262,0.0677,0.7263,0.2664
A,relation_on,1__3_second_person,28,1,0.0269,0.0162,0.0349,0.1483,0.8312,0.0521
A,relation_on,1__3_second_player,28,1,0.058,0.0709,0.0596,0.1085,0.7194,0.1074
A,relation_on,1__3_second_sink,28,1,0.2714,0.3362,0.2039,0.1062,0.8747,0.4143
A,relation_on,1__3_second_skis,28,1,0.0104,0.0,0.0186,0.2301,0.7065,0.0204
A,relation_on,1__3_second_suitcase,28,3,0.1148,0.101,0.1283,0.2566,0.7198,0.198
A,relation_on,1__3_second_surfboard,28,3,0.0559,0.1408,0.0478,0.182,0.7623,0.1042
A,relation_on,1__3_second_tent,28,1,0.0059,0.0,0.1594,0.0815,0.829,0.0117
A,relation_on,1__3_second_umbrella,28,1,0.0068,0.0003,0.0615,0.2306,0.9003,0.0135
A,relation_on,1__3_second_woman,28,1,0.0137,0.0013,0.0078,0.1875,0.7366,0.0268
A,relation_on,1_airplane__1,28,1,0.0696,0.0601,0.2616,0.0607,0.9246,0.1294
A,relation_on,1_airplane__2,28,1,0.0696,0.0601,0.2616,0.0607,0.9246,0.1294
A,relation_on,1_airplane__2_airplane,28,1,0.0696,0.0601,0.2616,0.0607,0.9246,0.1294
A,relation_on,1_bird__1,28,2,0.1472,0.1434,0.2619,0.0919,0.7926,0.2483
A,relation_on,1_bird__2,28,2,0.1472,0.1434,0.2619,0.0919,0.7926,0.2483
A,relation_on,1_bird__2_bird,28,2,0.1472,0.1434,0.2619,0.0919,0.7926,0.2483
A,relation_on,1_boat__1,28,1,0.0199,0.0016,0.057,0.1262,0.6203,0.0386
A,relation_on,1_boat__2,28,1,0.0199,0.0016,0.057,0.1262,0.6203,0.0386
A,relation_on,1_boat__2_boat,28,1,0.0199,0.0016,0.057,0.1262,0.6203,0.0386
A,relation_on,1_bowl__1,28,1,0.0562,0.0312,0.2237,0.0886,0.6863,0.1038
A,relation_on,1_bowl__3,28,1,0.0562,0.0312,0.2237,0.0886,0.6863,0.1038
A,relation_on,1_bowl__3_first_banana,28,1,0.0361,0.0301,0.0608,0.1109,0.6863,0.0685
A,relation_on,1_bowl__3_second_bowl,28,1,0.0562,0.0312,0.2237,0.0886,0.6863,0.1038
A,relation_on,1_car__1,28,2,0.1039,0.0268,0.3858,0.0634,0.7775,0.1832
A,relation_on,1_car__2,28,2,0.0609,0.0309,0.0859,0.1387,0.7775,0.113
A,relation_on,1_car__2_cat,28,1,0.0455,0.0,0.0765,0.1499,0.7391,0.0857
A,relation_on,1_car__2_dog,28,1,0.0764,0.0619,0.0952,0.1276,0.8159,0.1396
A,relation_on,1_car__3,28,2,0.1039,0.0268,0.3858,0.0634,0.7775,0.1832
A,relation_on,1_car__3_first_cat,28,1,0.0455,0.0,0.0765,0.1499,0.7391,0.0857
A,relation_on,1_car__3_first_dog,28,1,0.0764,0.0619,0.0952,0.1276,0.8159,0.1396
A,relation_on,1_car__3_second_car,28,2,0.1039,0.0268,0.3858,0.0634,0.7775,0.1832
A,relation_on,1_cat__1,28,3,0.1943,0.107,0.4149,0.0608,0.7959,0.3124
A,relation_on,1_cat__2,28,3,0.1943,0.107,0.4149,0.0608,0.7959,0.3124
A,relation_on,1_cat__2_cat,28,3,0.1943,0.107,0.4149,0.0608,0.7959,0.3124
A,relation_on,1_cat__3,28,2,0.1814,0.1233,0.4024,0.0616,0.7837,0.2946
A,relation_on,1_cat__3_first_cat,28,2,0.1814,0.1233,0.4024,0.0616,0.7837,0.2946
A,relation_on,1_cat__3_second_chair,28,1,0.1368,0.0918,0.1829,0.0681,0.6928,0.2285
A,relation_on,1_cat__3_second_sink,28,1,0.2714,0.3362,0.2039,0.1062,0.8747,0.4143
A,relation_on,1_catcher__1,28,1,0.2853,0.2313,0.4109,0.0586,0.829,0.4245
A,relation_on,1_catcher__2,28,1,0.2853,0.2313,0.4109,0.0586,0.829,0.4245
A,relation_on,1_catcher__2_catcher,28,1,0.2853,0.2313,0.4109,0.0586,0.829,0.4245
A,relation_on,1_dog__1,28,5,0.2045,0.1761,0.2844,0.0758,0.7816,0.3241
A,relation_on,1_dog__2,28,5,0.2045,0.1761,0.2844,0.0758,0.7816,0.3241
A,relation_on,1_dog__2_dog,28,5,0.2045,0.1761,0.2844,0.0758,0.7816,0.3241
A,relation_on,1_dog__3,28,4,0.2421,0.2114,0.3026,0.0782,0.7794,0.3694
A,relation_on,1_dog__3_first_dog,28,4,0.2421,0.2114,0.3026,0.0782,0.7794,0.3694
A,relation_on,1_dog__3_second_bed,28,2,0.1275,0.1352,0.1123,0.1135,0.7685,0.2188
A,relation_on,1_dog__3_second_couch,28,2,0.3342,0.3201,0.328,0.0653,0.7903,0.4698
A,relation_on,1_fork__1,28,1,0.2508,0.2059,0.2632,0.1758,0.9316,0.3953
A,relation_on,1_fork__3,28,1,0.2508,0.2059,0.2632,0.1758,0.9316,0.3953
A,relation_on,1_fork__3_first_fork,28,1,0.2508,0.2059,0.2632,0.1758,0.9316,0.3953
A,relation_on,1_fork__3_second_carrot,28,1,0.1235,0.0944,0.3561,0.0932,0.9316,0.218
A,relation_on,1_frisbee__1,28,1,0.0327,0.0214,0.1316,0.1634,0.9246,0.0632
A,relation_on,1_frisbee__2,28,1,0.0696,0.0544,0.0659,0.1676,0.9246,0.1294
A,relation_on,1_frisbee__2_dog,28,1,0.0696,0.0544,0.0659,0.1676,0.9246,0.1294
A,relation_on,1_horses__1,28,2,0.1631,0.1157,0.262,0.0677,0.7263,0.2664
A,relation_on,1_horses__2,28,2,0.0036,0.0,0.0159,0.1363,0.7263,0.0072
A,relation_on,1_horses__2_jockeys,28,2,0.0036,0.0,0.0159,0.1363,0.7263,0.0072
A,relation_on,1_horses__3,28,2,0.1631,0.1157,0.262,0.0677,0.7263,0.2664
A,relation_on,1_horses__3_first_jockeys,28,2,0.0036,0.0,0.0159,0.1363,0.7263,0.0072
A,relation_on,1_horses__3_second_horse,28,2,0.1631,0.1157,0.262,0.0677,0.7263,0.2664
A,relation_on,1_hot dog__1,28,1,0.1743,0.1499,0.2213,0.0893,0.7228,0.2809
A,relation_on,1_hot dog__2,28,1,0.1743,0.1499,0.2213,0.0893,0.7228,0.2809
A,relation_on,1_hot dog__2_hot dog,28,1,0.1743,0.1499,0.2213,0.0893,0.7228,0.2809
A,relation_on,1_man__1,28,4,0.2209,0.1989,0.3275,0.0586,0.7834,0.3446
A,relation_on,1_man__2,28,4,0.1718,0.1654,0.2399,0.0871,0.7834,0.2818
A,relation_on,1_man__2_man,28,3,0.2246,0.2202,0.3172,0.0536,0.799,0.3506
A,relation_on,1_man__2_woman,28,1,0.0137,0.0013,0.0078,0.1875,0.7366,0.0268
A,relation_on,1_man__3,28,4,0.2209,0.1989,0.3275,0.0586,0.7834,0.3446
A,relation_on,1_man__3_first_man,28,4,0.2209,0.1989,0.3275,0.0586,0.7834,0.3446
A,relation_on,1_man__3_second_bed,28,3,0.1834,0.315,0.1398,0.1058,0.799,0.2983
A,relation_on,1_man__3_second_woman,28,1,0.0137,0.0013,0.0078,0.1875,0.7366,0.0268
A,relation_on,1_person__1,28,5,0.1775,0.1277,0.1975,0.1517,0.7775,0.2891
A,relation_on,1_person__2,28,5,0.1418,0.1078,0.1508,0.1608,0.7775,0.2398
A,relation_on,1_person__2_person,28,5,0.1418,0.1078,0.1508,0.1608,0.7775,0.2398
A,relation_on,1_person__3,28,5,0.1775,0.1277,0.1975,0.1517,0.7775,0.2891
A,relation_on,1_person__3_first_person,28,5,0.1775,0.1277,0.1975,0.1517,0.7775,0.2891
A,relation_on,1_person__3_second_bench,28,3,0.0088,0.0006,0.0221,0.1828,0.7917,0.0174
A,relation_on,1_person__3_second_person,28,1,0.0269,0.0162,0.0349,0.1483,0.8312,0.0521
A,relation_on,1_person__3_second_surfboard,28,1,0.0233,0.0509,0.0188,0.1989,0.6812,0.045
A,relation_on,1_pizza__1,28,3,0.0479,0.0469,0.151,0.0894,0.7698,0.0902
A,relation_on,1_pizza__2,28,3,0.0,0.0,0.0023,0.2193,0.7698,0.0
A,relation_on,1_pizza__2_person,28,3,0.0,0.0,0.0023,0.2193,0.7698,0.0
A,relation_on,1_pizza__3,28,3,0.0479,0.0469,0.151,0.0894,0.7698,0.0902
A,relation_on,1_pizza__3_first_pizza,28,3,0.0479,0.0469,0.151,0.0894,0.7698,0.0902
A,relation_on,1_pizza__3_second_dining table,28,3,0.0479,0.0469,0.151,0.0894,0.7698,0.0902
